nombre,url,gif_url,tipo_ejercicio,grupo_muscular,musculos_involucrados,equipamiento,dificultad_actual,dificultad_maxima,instrucciones
Aperturas con Bandas,https://fitcron.com/exercise/aperturas-con-bandas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/37571301-Band-high-fly-male_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Bandas,1,3,"[""Asegura la banda elástica a una altura elevada detrás de ti y sujeta una agarradera con tu mano cerca de tu hombro, con la palma apuntando hacia abajo."",""Empuja la agarradera en forma recta hacia adelante y hacia abajo, hasta que tu brazo esté extendido, y regresa lentamente luego de una breve pausa.""]"
Aperturas con Mancuernas,https://fitcron.com/exercise/aperturas-con-mancuernas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/03081301-Dumbbell-Fly_Chest-FIX_720.gif,Fuerza,Pecho,"Pectoral, Tríceps","Banco Plano, Mancuernas",1,3,"[""Túmbate boca arriba sobre el banco."",""Coge las mancuernas con las dos manos, teniendo en cuenta que las palmas deben mirar hacia el centro del cuerpo y manteniendo los brazos un poco flexionados en vertical al cuerpo."",""Desciende los brazos a los lados hasta bajar con las manos a la altura de los hombros."",""Los codos tienen que estar alineados entre sí, perpendiculares al cuerpo y paralelos al suelo."",""En el momento que espiras, regresa al centro del cuerpo sin extender los brazos ni flexionar los codos.""]"
Aperturas Declinadas con giro con Mancuernas,https://fitcron.com/exercise/aperturas-declinadas-con-giro-con-mancuernas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/03071301-Dumbbell-Decline-Twist-Fly_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Mancuernas,2,3,"[""Túmbate boca arriba sobre el banco declinado."",""Coge las mancuernas con las dos manos, teniendo en cuenta que las palmas deben mirar hacia la cabeza (supinación) y manteniendo los brazos un poco flexionados en vertical al cuerpo."",""Desciende los brazos a los lados hasta bajar con las manos a la altura de los hombros, girando las mismas de forma que queden con las palmas hacia el cuerpo."",""Los codos tienen que estar alineados entre sí, perpendiculares al cuerpo y paralelos al suelo."",""En el momento que espiras, regresa al centro del cuerpo sin extender los brazos ni flexionar los codos, girando de nuevo a supinación.""]"
Aperturas Declinadas con Mancuernas,https://fitcron.com/exercise/aperturas-declinadas-con-mancuernas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/03021301-Dumbbell-Decline-Fly_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps","Banco Inclinable, Mancuernas",2,3,"[""Túmbate boca arriba sobre el banco declinado."",""Coge las mancuernas con las dos manos, teniendo en cuenta que las palmas deben mirar hacia el centro del cuerpo y manteniendo los brazos un poco flexionados en vertical al cuerpo."",""Desciende los brazos a los lados hasta bajar con las manos a la altura de los hombros."",""Los codos tienen que estar alineados entre sí, perpendiculares al cuerpo y paralelos al suelo."",""En el momento que espiras, regresa al centro del cuerpo sin extender los brazos ni flexionar los codos.""]"
Aperturas en Máquina,https://fitcron.com/exercise/aperturas-en-maquina-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/10301301-Lever-Pec-Deck-Fly_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Máquina,2,3,"[""Sentados con la espalda bien apoyada y recta, abrimos los brazos a los lados, flexionados 90° hacia arriba y agarramos las barras de la máquina con las palmas hacia delante."",""A continuación realizamos el cierre efectuando la fuerza desde los codos, hasta llegar al centro del pecho."",""Después retrocedemos de forma controlada sin llegar a perder la tensión (no llegar al final para descansar).""]"
Aperturas Extendidas en Máquina,https://fitcron.com/exercise/aperturas-extendidas-en-maquina-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/05961301-Lever-Seated-Fly_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Máquina,2,3,"[""Sentados con la espalda bien apoyada y recta, extendemos bien los brazos a los lados y agarramos las barras de la máquina con agarre neutro (palmas mirándose entre sí)."",""A continuación realizamos el cierre manteniendo los brazos extendidos hasta llegar a tocarse ambas manos."",""Después retrocedemos de forma controlada sin llegar a perder la tensión (no llegar al final para descansar).""]"
Aperturas Inclinadas con Mancuernas,https://fitcron.com/exercise/aperturas-inclinadas-con-mancuernas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/03191301-Dumbbell-Incline-Fly_Chest-FIX_720.gif,Fuerza,Pecho,"Pectoral, Tríceps","Banco Inclinable, Mancuernas",2,3,"[""Túmbate boca arriba sobre el banco inclinado (no demasiado inclinado, si no tiraremos más de hombro)."",""Coge las mancuernas con las dos manos, teniendo en cuenta que las palmas deben mirar hacia el centro del cuerpo y manteniendo los brazos un poco flexionados en vertical al cuerpo."",""Desciende los brazos a los lados hasta bajar con las manos a la altura de los hombros."",""Los codos tienen que estar alineados entre sí, perpendiculares al cuerpo y paralelos al suelo."",""En el momento que espiras, regresa al centro del cuerpo sin extender los brazos ni flexionar los codos.""]"
Aperturas Traseras en Pronación en Máquina,https://fitcron.com/exercise/aperturas-traseras-en-pronacion-en-maquina-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/06021301-Lever-Seated-Reverse-Fly_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Máquina,2,3,"[""Con la espalda recta coge un agarre con cada mano en pronación y sin balanceo ni impulso, lleva los soportes hacia los lados con los brazos rectos."",""Aprieta los hombros y aguanta durante uno o dos segundos."",""Retrocede de forma controlada a la posición inicial.""]"
Aperturas Traseras Neutras en Máquina,https://fitcron.com/exercise/aperturas-traseras-neutras-en-maquina-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/06011301-Lever-Seated-Reverse-Fly-parallel-grip_shoulder_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Máquina,2,3,"[""Con la espalda recta coge un agarre con cada mano neutro (palmas hacia el interior) y sin balanceo ni impulso, lleva los soportes hacia los lados con los brazos rectos."",""Aprieta los hombros y aguanta durante uno o dos segundos."",""Retrocede de forma controlada a la posición inicial.""]"
Bicicleta Estática Deportiva,https://fitcron.com/exercise/bicicleta-estatica-cardio/,https://fitcron.com/wp-content/uploads/2021/03/21381301-Stationary-Bike-Run-version-3_Cardio_720.gif,Cardio,Todos,,Máquina,2,3,"[""La espalda inclinada en posición deportiva permite liberar un máximo de potencia para el pedaleo.""]"
Bicicleta Estática Normal,https://fitcron.com/exercise/bicicleta-estatica-normal-cardio/,https://fitcron.com/wp-content/uploads/2021/03/22791301-Stationary-Bike-Run-version-4_Cardio_720.gif,Cardio,Todos,,Máquina,1,3,"[""-Espalda recta para un confort máximo (especialmente aconsejado en caso de dolores lumbares) -Espalda ligeramente inclinada, para una buena relación confort / potencia de pedaleo.""]"
Bicicleta Estática Reclinada,https://fitcron.com/exercise/bicicleta-estatica-reclinada-cardio/,https://fitcron.com/wp-content/uploads/2021/03/21931301-Bicycle-Recline-Walk_Cardio_720.gif,Cardio,Todos,,Máquina,1,3,"[""En una bicicleta reclinada u horizontal el cuerpo se encuentra más cerca del suelo."",""Esta clase de bicicletas cuentan con un asiento que envuelve la zona lumbar del usuario y unos pedales situados enfrente del mismo, lo que conlleva que la acción de pedalear se realice en círculos más abiertos y hacia afuera."",""Las bicicletas reclinadas son perfectas para personas de edad avanzada o con problemas de espalda, ya que el asiento permite descansar la espalda y no ejercer presión sobre esta zona."",""Por otra parte, no son recomendables para personas con lesiones en la rodilla al estar la fuerza más concentrada en las piernas.""]"
Brazada en Fitball,https://fitcron.com/exercise/brazada-en-fitball-lumbar/,https://fitcron.com/wp-content/uploads/2021/04/13321301-Exercise-Ball-Alternating-Arm-Ups_Back_720.gif,Fuerza,Espalda,"Oblicuos, Tríceps, Dorsal, Lumbar",Fitball,2,3,"[""Trabajarás las lumbares y los músculos de la espalda simplemente realizando el gesto de la brazada con el abdomen situado en el fitball y los pies en el suelo.""]"
Buenos días con Barra,https://fitcron.com/exercise/buenos-dias-con-barra-pierna/,https://fitcron.com/wp-content/uploads/2021/04/00441301-Barbell-Good-Morning_Thighs_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Barra Larga,2,3,"[""Colócate de pie con las piernas separadas a la anchura algo menor a la de los hombros."",""Así, coge una barra tras la cabeza, exactamente bajo la zona de los trapecios."",""Baja el tronco hacia adelante, siempre manteniendo la espalda en una posición erecta."",""Al llegar al punto máximo, tu torso debe encontrarse casi paralelo al piso, todo ello sin que la espalda pierda su posición inicial y, eso sí, doblando ligeramente las rodillas y sacando los glúteos."",""Puedes mantener la posición final por uno o dos segundos, en donde sentirás cómo se tensa tu abdomen."",""Una vez hecho esto, regresa a la posición de inicio.""]"
Burpee,https://fitcron.com/exercise/burpee-cardio/,https://fitcron.com/wp-content/uploads/2021/03/11601301-Burpee_Cardio_720.gif,Cardio,Todos,,Ninguno,3,3,"[""Para realizar el ejercicio de se parte de una posición inicial en cuclillas (o sentadillas), se colocan las manos en el suelo y se mantiene la cabeza erguida."",""Después se desplazan las piernas hacia atrás con los pies juntos."",""A continuación se recogen las piernas para volver y se da un salto vertical con los brazos en alto (se puede dar una palmada por encima de la cabeza)."",""Después vuelve a la posición de cuclillas para repetir el ejercicio.""]"
Burpee con Mancuernas,https://fitcron.com/exercise/burpee-con-mancuernas-cardio/,https://fitcron.com/wp-content/uploads/2021/03/12011301-Dumbbell-burpee_Cardio_720.gif,Cardio,Todos,,Mancuernas,3,3,"[""Sostén una mancuerna en cada mano, ponte de pie con los pies separados a la anchura de los hombros."",""Agáchate y coloca las mancuernas sobre el piso antes de patear con fuerza hacia atrás y ponerte en la posición de flexión o lagartija."",""Rápidamente empuja las piernas con fuerza para regresar a la posición más baja de sentadilla y con impulso salta levantando las mancuernas tan alto como pueda antes de regresar a la posición inicial.""]"
Burpee Jack,https://fitcron.com/exercise/burpee-jack-cardio/,https://fitcron.com/wp-content/uploads/2021/03/05011301-Jack-Burpee_Cardio_720.gif,Cardio,Todos,,Ninguno,3,3,"[""Para empezar, nos colocaremos de pie, con las piernas a la anchura de los hombros."",""Sin mover los pies, colocaremos las manos en el suelo delante de nuestra cabeza."",""De un salto, deberemos extender las piernas para quedar en una posición de plancha."",""En esta posición, tendremos que dar otro salto para separar las piernas, y de nuevo otro salto con el fin de volver a juntarlas."",""Posteriormente, volviendo a saltar, tendremos que flexionar las piernas hasta la posición inicial."",""Nos levantaremos por completo y deberemos aprovechar el impulso para dar un salto que nos haga despegar del suelo.""]"
Butt Kicks,https://fitcron.com/exercise/butt-kicks-cardio/,https://fitcron.com/wp-content/uploads/2021/03/30371301-Butt-Kicks-male_Cardio_720.gif,Cardio,Todos,,Ninguno,1,3,"[""Se trata de correr sin moverte del sitio donde te encuentres, flexionando las rodillas hacia atrás lo máximo posible tratando de tocar el glúteo con el talón.""]"
Caminar,https://fitcron.com/exercise/caminar-cardio/,https://fitcron.com/wp-content/uploads/2021/03/22581301-Walking_Cardio_720.gif,Cardio,Todos,,Ninguno,1,3,"[""Andar con normalidad."",""Puede ser un paseo por el exterior o caminar tranquilamente sobre una cinta.""]"
Caminar a paso ligero,https://fitcron.com/exercise/caminar-a-paso-ligero-cardio/,https://fitcron.com/wp-content/uploads/2021/03/30041301-Briskly-Walking_Cardio_720.gif,Cardio,Todos,,Ninguno,2,3,"[""El paso ligero es aquel que cubre aproximadamente 4,3 kilómetros por hora."",""Dicho de otra manera, unas 100 zancadas por minuto (es decir, casi dos por segundo).""]"
Caminar con peso,https://fitcron.com/exercise/caminar-con-peso-cardio/,https://fitcron.com/wp-content/uploads/2021/03/21331301-Farmers-walk_Cardio_720.gif,Cardio,Todos,,Mancuernas,2,3,"[""Andar con normalidad mientras sostenemos una mancuerna a cada mano (puede ser otro tipo de material que pese)."",""Puede ser un paseo libre o caminar sobre una cinta.""]"
Caminar con rodilla arriba,https://fitcron.com/exercise/caminar-con-rodilla-arriba-cardio/,https://fitcron.com/wp-content/uploads/2021/03/36551301-Walking-High-Knees-Lunge_Cardio_720.gif,Cardio,Todos,,Ninguno,2,3,"[""De pie, con una rodilla arriba flexionada a 90º y el brazo opuesto del mismo modo, da un paso hacia delante manteniendo el ángulo de la rodilla flexionada descendiendo con la otra pierna a modo de zancada."",""Impúlsate con la pierna adelantada y sigue caminando alternando la pierna.""]"
Caminar en cuclillas,https://fitcron.com/exercise/caminar-en-cuclillas-cardio/,https://fitcron.com/wp-content/uploads/2021/03/38671301-Duck-Walk-male_Cardio_720.gif,Cardio,Todos,,Ninguno,2,3,"[""Ponerse en cuclillas puede aliviar el dolor persistente, prevenir lesiones y ayudar a lograr metas de tu estado físico."",""Separa tus pies a la altura de la cadera con los dedos de los pies hacia adelante."",""Ahora, en cuclillas, baja lo más que puedas y comienza a andar sin levantarte.""]"
Carrera con salto,https://fitcron.com/exercise/carrera-con-salto-cardio/,https://fitcron.com/wp-content/uploads/2021/03/36371301-Wheel-Run_Cardio_720.gif,Cardio,Todos,,Ninguno,2,3,"[""Consiste en correr realizando saltos longitudinales alargando la zancada lo máximo posible.""]"
Carrera continua,https://fitcron.com/exercise/carrera-continua-cardio/,https://fitcron.com/wp-content/uploads/2021/03/06851301-Run_Cardio-FIX_720.gif,Cardio,Todos,,Ninguno,1,3,"[""Se trata de correr al libremente de forma natural, a un ritmo adecuado, con intervalos de alta y baja intensidad o a un ritmo constante si se prefiere.""]"
Carrera de pasos cortos,https://fitcron.com/exercise/carrera-de-pasos-cortos-cardio/,https://fitcron.com/wp-content/uploads/2021/03/36561301-Short-Stride-Run_Cardio_720.gif,Cardio,Todos,,Ninguno,1,3,"[""Carrera continua con pasos cortos y flexión mínima de rodillas."",""Adelanta ligeramente el brazo inverso a cada rodilla.""]"
Carrera de skater,https://fitcron.com/exercise/carrera-de-skater-cardio/,https://fitcron.com/wp-content/uploads/2021/03/31091301-Skater-male_Cardio_720.gif,Cardio,Todos,,Ninguno,2,3,"[""Con una pierna hacia delante y otra hacia atrás, flexionadas a modo de zancada, inclina el cuerpo hacia delante con ambos codos flexionados y con el torso girado hacia el lado de la pierna adelantada."",""Comienza a caminar adelantando la otra pierna e invirtiendo la posición.""]"
Carrera en Cinta,https://fitcron.com/exercise/carrera-en-cinta-cardio/,https://fitcron.com/wp-content/uploads/2021/03/06841301-Run-equipment_Cardio_720.gif,Cardio,Todos,,Máquina,1,3,"[""Una cinta de correr, cinta ergométrica, caminadora de banda o máquina de caminar es una máquina para entrenamiento físico que puede funcionar mediante propulsión eléctrica o manual, y que sirve para correr o andar sin moverse de un mismo sitio."",""Colócate sobre la cinta y realiza algún programa de la misma o regula la intensidad ajustándola a tus necesidades.""]"
Carrera en Cinta Inclinada,https://fitcron.com/exercise/carrera-en-cinta-inclinada-cardio/,https://fitcron.com/wp-content/uploads/2021/03/36661301-Walking-on-Incline-Treadmill_Cardio_720.gif,Cardio,Todos,,Máquina,2,3,"[""Una cinta de correr, cinta ergométrica, caminadora de banda o máquina de caminar es una máquina para entrenamiento físico que puede funcionar mediante propulsión eléctrica o manual, y que sirve para correr o andar sin moverse de un mismo sitio."",""Ajusta la inclinación de la cinta, colócate sobre ella y realiza algún programa de la misma o regula la intensidad ajustándola a tus necesidades.""]"
Carrera en zigzag,https://fitcron.com/exercise/carrera-en-zigzag-cardio/,https://fitcron.com/wp-content/uploads/2021/03/31981301-ZigZag-Hopes_Cardio_720.gif,Cardio,Todos,,Ninguno,2,3,"[""Seguir un patrón de zigzag imaginario (se pueden colocar conos u otros objetos) y ejecutar una zancada larga hacia afuera con el pie derecho, luego seguir inmediatamente con una zancada larga al lado contrario con el pie izquierdo.""]"
Carrera hacia atrás,https://fitcron.com/exercise/carrera-hacia-atras-cardio/,https://fitcron.com/wp-content/uploads/2021/03/42581301-Backwards-Run_Cardio_720.gif,Cardio,Todos,,Ninguno,2,3,"[""Correr hacia atrás ofrece al atleta un entrenamiento cardiovascular intenso, reduce el riesgo de lesiones en la espalda y en las piernas, ayuda a conseguir un tren inferior más fuerte y equilibrado, y se trata de una alternativa perfecta para perder peso de forma más rápida.""]"
Carrera rápida en el sitio,https://fitcron.com/exercise/carrera-rapida-en-el-sitio-cardio/,https://fitcron.com/wp-content/uploads/2021/03/35891301-Quickly-Trot-in-place_Cardio_720.gif,Cardio,Todos,,Ninguno,1,3,"[""De pie, con los codos flexionados en un ángulo de 90 grados y los pies separados a la anchura de las caderas."",""Mueve el codo derecho hacia delante al mismo tiempo que subes la rodilla izquierda."",""Repite en el lado opuesto y mantén los lados alternados.""]"
Cocoons,https://fitcron.com/exercise/cocoons/,https://fitcron.com/wp-content/uploads/2024/05/02601301-Cocoons_waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Ninguno,3,3,"[""Acuéstate boca arriba con los brazos extendidos a lo largo del cuerpo y las palmas hacia abajo."",""Levanta las piernas y el torso del suelo al mismo tiempo, manteniendo los brazos rectos y extendidos hacia adelante."",""A continuación, lleva las rodillas hacia el pecho mientras te enrollas hacia adelante, tocando tus rodillas con la barbilla y adoptando una postura como si te sujetases las piernas por las tibias."",""Mantén la contracción en los músculos abdominales y luego extiende lentamente las piernas y el torso de nuevo hacia la posición inicial."",""Este ejercicio trabaja los músculos abdominales superiores e inferiores, así como los flexores de la cadera, ayudando a fortalecer y tonificar el área del núcleo.""]"
Cruce completo de Poleas,https://fitcron.com/exercise/cruce-completo-de-poleas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/02271301-Cable-Standing-Fly_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Polea,2,3,"[""De pie con una polea a cada lado del cuerpo, por encima de la cabeza, cogemos las empuñaduras con la palma hacia el frente, con las piernas separadas."",""Realiza el cierre de ambos brazos, de arriba a abajo sin flexionarlos, de forma que queden delante del cuerpo por debajo de la cadera, sin necesidad de tocar ambas manos, y regresa lentamente luego de una breve pausa.""]"
Cruce de Poleas,https://fitcron.com/exercise/cruce-de-poleas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/01881301-Cable-Middle-Fly_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Polea,2,3,"[""De pie con una polea a cada lado del cuerpo, a la altura del pecho, cogemos las empuñaduras con la palma hacia el frente, con un pie delante del otro para tener estabilidad."",""Realiza el cierre de ambos brazos sin flexionarlos de forma que queden delante del pecho, llegando a tocarse las manos, y regresa lentamente luego de una breve pausa.""]"
Cruce inferior de Poleas,https://fitcron.com/exercise/cruce-inferior-de-poleas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/12691301-Cable-Standing-Up-Straight-Crossovers_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Polea,2,3,"[""De pie con una polea a cada lado del cuerpo, a la altura del pecho, cogemos las empuñaduras con la palma hacia el frente, con un pie delante del otro para tener estabilidad."",""Realiza el cierre de ambos brazos sin flexionarlos de forma que queden delante del pecho a la altura de la cadera, llegando a tocarse las manos, y regresa lentamente luego de una breve pausa.""]"
Cruce superior de Poleas,https://fitcron.com/exercise/cruce-superior-de-poleas-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/12701301-Cable-Upper-Chest-Crossovers_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Polea,2,3,"[""De pie con una polea a cada lado del cuerpo, a la altura del pecho, cogemos las empuñaduras con la palma hacia el frente, con un pie delante del otro para tener estabilidad."",""Realiza el cierre de ambos brazos sin flexionarlos de forma que queden delante del pecho sobre la cabeza, llegando a tocarse las manos, y regresa lentamente luego de una breve pausa.""]"
Cruces en Máquina,https://fitcron.com/exercise/cruces-en-maquina-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/33441301-Lever-Crossovers_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Máquina,2,3,"[""Sentados en la máquina con la espalda recta, ponemos las manos en pronación (palmas hacia el suelo) y los codos bien arriba, a la altura de los hombros."",""Empujamos hacia abajo para cerrar los brazos (sin bajar los codos por debajo de las manos) hasta prácticamente juntar las manos y volvemos a la posición inicial con un movimiento controlado.""]"
Crunch Cruzado,https://fitcron.com/exercise/crunch-cruzado-2/,https://fitcron.com/wp-content/uploads/2024/05/02621301-Cross-Body-Crunch_waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Ninguno,2,3,"[""Acuéstate boca arriba con las rodillas dobladas y los pies apoyados en el suelo."",""Coloca las manos detrás de la cabeza, sin entrelazar los dedos."",""Levanta los hombros del suelo mientras contraes los abdominales."",""A medida que subes, gira el torso y lleva el codo derecho hacia la rodilla izquierda, levantando también esa pierna del suelo para acortar el recorrido."",""Intenta tocar la rodilla con el codo mientras mantienes la parte baja de la espalda en contacto con el suelo."",""Regresa a la posición inicial y repite del otro lado, llevando el codo izquierdo hacia la rodilla derecha."",""Alterna los lados en cada repetición."",""Este ejercicio trabaja los músculos oblicuos y abdominales""]"
Crunch Cruzado con Bandas,https://fitcron.com/exercise/crunch-bicicleta-con-bandas-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/09721301-Band-bicycle-crunch_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Bandas,2,3,"[""Agarra una banda a cada pie y a su vez a algún soporte a la misma altura."",""Túmbate en el suelo boca arriba."",""Coloca las manos tras la nuca, levanta una pierna del suelo y estírala, después levanta la otra pierna y dobla la rodilla hacia el pecho."",""Toca con el codo la rodilla contraria y asegúrate de que giras el torso con los abdominales."",""Cambia de lado y cuenta una repetición cuando la rodilla y el codo se toquen.""]"
